"app_id","app_name","size_bytes","price","rating_count_total","rating_count_current","user_rating_total","user_rating_current","content_rating","genre","support_devices","language_num"
"151","ESPN: Get scores, news, alerts & watch live sports","52","0.00","290996","150","3.5","3.5","Everyone","Sports","37","2"
"152","LiveATC Air Radio","8","3.99","2785","90","4.0","4.0","Everyone","Travel","37","26"
"153","The Sims 3","430","6.99","54408","65","3.5","2.0","High maturity","Games","37","8"
"154","Chess Pro with Coach - Learn,Play & Online Friends","70","9.99","8138","107","4.0","4.5","Everyone","Games","37","13"
"155","Guess My Age î€  Math Magic","1","0.00","123190","68841","3.0","3.0","Everyone","Education","47","1"
"156","Crush the Castle","13","0.99","23810","582","3.5","4.0","High maturity","Games","45","1"
"157","2016 U.S. Open Golf Championship","140","0.00","54192","32","4.0","2.0","Everyone","Sports","37","1"
"158","The Championships, Wimbledon 2016 - Tennis Grand Slam","130","0.00","20953","481","4.0","4.0","Everyone","Sports","37","1"
"159","TuneIn Radio Pro - MLB Audiobooks Podcasts Music","102","9.99","71609","99","4.5","4.0","High maturity","Music","37","14"
"160","NBC News","53","0.00","32881","7","3.5","2.0","High maturity","News","37","1"
"161","Grindr - Gay and same sex guys chat, meet and date","80","0.00","23201","14","2.5","2.0","High maturity","Social Networking","37","5"
"162","Whole Foods Market","137","0.00","17906","4","3.0","3.0","Everyone","Shopping","37","1"
"163","NAVIGON Europe","144","74.99","927","3","3.5","2.5","Everyone","Navigation","37","21"
"164","Virtual Families","28","1.99","18920","3014","3.5","4.5","Low maturity","Games","47","1"
"165","Sparkasse+","120","0.99","30","0","3.0","0.0","Everyone","Finance","37","3"
"166","Sparkasse - Your mobile branch","120","0.00","77","1","3.0","4.0","Everyone","Finance","37","3"
"167","Sleep Cycle alarm clock","79","0.00","104539","11","4.5","4.5","Everyone","Health & Fitness","37","13"
"168","FACEinHOLEÂ®","13","0.99","4016","1","4.0","5.0","High maturity","Photo & Video","37","1"
"169","Harvest - Select the Best Produce","18","1.99","299","28","4.0","4.5","Everyone","Food & Drink","38","1"
"170","WORMS","254","1.99","5758","9","4.0","3.0","High maturity","Games","40","1"
"171","Pixel Starshipsâ„¢ : 8Bit MMORPG","69","0.00","5565","140","4.5","4.5","Low maturity","Games","37","17"
"172","Traffic Rush","9","0.99","213092","51","3.5","4.5","Low maturity","Games","37","1"
"173","MyRadar NOAA Weather Radar Forecast","127","0.00","150158","3392","4.5","5.0","Everyone","Weather","37","8"
"174","Resident Evil 4: PLATINUM","81","4.99","6046","446","4.0","4.0","High maturity","Games","47","1"
"175","Waze - GPS Navigation, Maps & Real-time Traffic","94","0.00","345046","3040","4.5","4.5","Everyone","Navigation","37","36"
"176","Cartoon Wars","13","0.99","35930","262","3.5","4.0","High maturity","Games","43","1"
"177","Moto X Mayhem","21","0.99","22557","526","4.0","4.0","Everyone","Games","47","1"
"178","Fantasy Football Manager - FFM for FPL","36","0.99","292","1","3.0","5.0","High maturity","Sports","37","1"
"179","Spotify Music","133","0.00","878563","8253","4.5","4.5","High maturity","Music","37","18"
"180","McDo France","37","0.00","22","0","3.5","0.0","Everyone","Food & Drink","37","30"
